Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7MuGa8JT2v1kdvzR9yU3ap,"Nowhere to Run - Single Version","Baby Driver (Music from the Motion Picture)","Martha Reeves & The Vandellas",2017-06-23,166160,0,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"motown,northern soul,classic soul,soul","Columbia",0.636,0.82,3,-4.217,1,0.0898,0.369,0,0.219,0.636,130.446,4
spotify:track:2v2JwSlTd2vazzWxNvs7sO,"When Something Is Wrong With My Baby","Baby Driver (Music from the Motion Picture)","Sam & Dave",2017-06-23,194186,0,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"motown,soul,classic soul","Columbia",0.45,0.292,1,-8.282,1,0.0302,0.526,0.00000144,0.0414,0.163,137.735,3
spotify:track:3sHGi1Ldr0JfoeZMoV9sNO,"Every Little Bit Hurts","The Motown Anthology","Brenda Holloway",2005-01-01,170960,39,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"motown,northern soul,classic soul","UNI/MOTOWN",0.291,0.381,0,-15.003,1,0.0459,0.833,0,0.138,0.355,142.177,3
spotify:track:3GNxHOUQ09qDYSG0MfRNBQ,"Intermission","Baby Driver (Music from the Motion Picture)","Blur",2017-06-23,149346,0,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"britpop,madchester,alternative rock","Columbia",0.354,0.901,10,-5.486,1,0.0801,0.208,0.31,0.129,0.399,92.138,3
spotify:track:6iZtDWu3FTuxu7AprIqA3Y,"Hocus Pocus - Extended Version","Moving Waves","Focus",1971,402560,52,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"progressive rock,nederpop,art rock","Red Bullet",0.267,0.722,2,-7.344,1,0.102,0.00596,0.893,0.35,0.347,184.093,4
spotify:track:5tU9JM1v72X7oM808Am6Fq,"Radar Love","Moontan","Golden Earring",1973,386706,57,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"nederpop,classic rock","Red Bullet",0.504,0.719,1,-9.155,0,0.0431,0.00878,0.00149,0.075,0.177,102.144,4
spotify:track:6a90vQiIiL8HanB5z9nHRy,"Never, Never Gonna Give Ya Up","Baby Driver (Music from the Motion Picture)","Barry White",2017-06-23,288306,0,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"disco,soul,classic soul,quiet storm,philly soul","Columbia",0.62,0.892,2,-7.154,0,0.0864,0.0746,0,0.0468,0.929,85.938,4
spotify:track:6Kk9SGnMMrpPPB0mDQ3CJz,"Know How","Stone Cold Rhymin' (Deluxe Edition)","Young MC",1989-01-01,242880,51,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"","The Bicycle Music Company",0.868,0.919,7,-5.701,1,0.112,0.0594,0,0.105,0.711,116.803,4
spotify:track:2ouMVpv6OJglrFHg2GQPwd,"Chase Me (feat. Run The Jewels & Big Boi) - Single Version - Music From The Motion Picture Baby Driver","Chase Me (feat. Run The Jewels & Big Boi)","Danger Mouse;Run The Jewels;Big Boi",2017-05-18,206746,45,true,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"hip hop,southern hip hop","Columbia",0.577,0.619,8,-7.329,1,0.221,0.00223,0.0000239,0.178,0.409,81.336,4
spotify:track:0w7lKfhxW190u1ckXi45E9,"Brighton Rock - Remastered 2011","Sheer Heart Attack (Deluxe Edition 2011 Remaster)","Queen",1974-11-08,310013,48,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"classic rock,rock,glam rock","EMI",0.354,0.843,11,-9.17,0,0.378,0.355,0.0126,0.789,0.348,137.62,4
spotify:track:52CTlUPosFjUvXUAadKOVV,"Christmas Kaboom","Christmas Kaboom","Naeleck;Sarah Rebecca",2022-11-25,186946,36,false,l70mtbcfoapp3mst5n81hlkz9,2022-11-30T15:12:35Z,"electro house,hypertechno","Signatune",0.621,0.771,9,-3.142,0,0.0254,0.00191,0.000159,0.343,0.228,95.036,4
spotify:track:6D9784CzwRHlnIHdtjsBME,"Easy - Music From The Motion Picture Baby Driver","Baby Driver (Music from the Motion Picture)","Sky Ferreira",2017-06-23,267573,35,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"","Columbia",0.6,0.274,9,-10.695,0,0.03,0.267,0.0163,0.106,0.246,132.034,4
spotify:track:0si76EE5TVUriyT02srhrd,"Baby Driver","Baby Driver (Music from the Motion Picture)","Simon & Garfunkel",2017-06-23,196466,31,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"folk rock,folk","Columbia",0.456,0.767,8,-8.241,1,0.0576,0.399,0.000225,0.105,0.744,163.955,4
spotify:track:283fC78iSwdjeo5OM5nlQp,"""Was He Slow?"" - Music From The Motion Picture Baby Driver","Baby Driver (Music from the Motion Picture)","Kid Koala",2017-06-23,106880,27,false,l70mtbcfoapp3mst5n81hlkz9,2021-07-30T19:24:03Z,"trip hop","Columbia",0.754,0.719,10,-5.806,0,0.371,0.373,0.259,0.12,0.674,175.99,4
