Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3C2BKKKa7xrz2uWqIN1Mnh,"Ain't Got No Haters (feat. Too Short)","Everythangs Corrupt","Ice Cube;Too $hort",2018-12-07,206053,61,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:18:42Z,"gangster rap,west coast hip hop,old school hip hop,g-funk,hip hop,hyphy","Cubevision JV New Agreements",0.776,0.925,11,-2.134,0,0.0792,0.0543,0.000427,0.189,0.715,95.951,4
spotify:track:3yfqSUWxFvZELEM4PmlwIR,"The Real Slim Shady","The Marshall Mathers LP","Eminem",2000-05-23,284200,84,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:18:58Z,"rap,hip hop","Eminem Catalog PS",0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,4
spotify:track:7MJQ9Nfxzh8LPZ9e9u68Fq,"Lose Yourself","SHADYXV","Eminem",2014-11-24,320626,71,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:19:03Z,"rap,hip hop","Shady Records",0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403,4
spotify:track:6or1bKJiZ06IlK0vFvY75k,"Rap God","The Marshall Mathers LP2 (Deluxe)","Eminem",2013-11-05,363521,74,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:19:07Z,"rap,hip hop","Eminem Catalog PS",0.709,0.843,7,-2.66,1,0.314,0.395,0,0.799,0.625,148.134,4
spotify:track:3UmaczJpikHgJFyBTAJVoz,"Stan","The Marshall Mathers LP","Eminem;Dido",2000-05-23,404106,80,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:19:38Z,"rap,hip hop","Eminem Catalog PS",0.78,0.768,6,-4.325,0,0.238,0.0371,0.00000234,0.518,0.507,80.063,4
spotify:track:7FIWs0pqAYbP91WWM0vlTQ,"Godzilla (feat. Juice WRLD)","Music To Be Murdered By","Eminem;Juice WRLD",2020-01-17,210800,80,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-03T10:20:15Z,"rap,hip hop,melodic rap,emo rap","Shady/Aftermath/Interscope Records",0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,4
spotify:track:75IN3CtuZwTHTnZvYM4qnJ,"My Name Is","The Slim Shady LP","Eminem",1999-02-23,268400,73,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-26T14:04:03Z,"rap,hip hop","Aftermath",0.869,0.68,1,-6.233,1,0.318,0.0416,0.00000112,0.0914,0.815,85.519,4
spotify:track:7lgvU7WnwcNZ8dbGUz8yhP,"Bitch Please II","The Marshall Mathers LP","Eminem;Dr. Dre;Snoop Dogg;Xzibit;Nate Dogg",2000-05-23,288200,71,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-03-30T19:16:10Z,"rap,hip hop,old school hip hop,g-funk,gangster rap,west coast hip hop,hardcore hip hop","Eminem Catalog PS",0.918,0.586,1,-2.89,1,0.133,0.0783,0,0.145,0.779,95.517,4
spotify:track:355RUwXtdecClzxv1zU98n,"Juicy - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,286000,55,false,31lwzlk3ixzhekhxj46yegst7rxy,2022-07-02T16:38:15Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.902,0.756,9,-4.547,1,0.28,0.417,0,0.0591,0.598,97.434,4
spotify:track:4woTEX1wYOTGDqNXuavlRC,"Superman","The Eminem Show","Eminem;Dina Rae",2002-05-26,350320,82,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-07-17T17:36:51Z,"rap,hip hop","Eminem Catalog PS",0.802,0.755,4,-3.138,0,0.0564,0.0215,0,0.295,0.58,130.027,4
spotify:track:1qZqFtSINOOmjYH1UE9805,"Life Goes On","All Eyez On Me","2Pac",1996-02-13,301600,58,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-08-19T15:26:48Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","Amaru Entertainment, Inc./Interscope Records",0.644,0.846,7,-5.443,1,0.275,0.124,0,0.353,0.503,79.182,4
spotify:track:6S5SJlNXgrUBTLa58NMwGk,"2 Of Amerikaz Most Wanted","Greatest Hits","2Pac;Snoop Dogg",1998-01-01,246666,59,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-08-19T15:28:16Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop,rap","2Pac Greatest Hits",0.853,0.876,1,-3.415,1,0.131,0.0426,0.00202,0.0548,0.845,99.236,4
spotify:track:0C5IKY0sXz4sg0hpx7HOz0,"Me and My Bitch - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,240493,48,true,31lwzlk3ixzhekhxj46yegst7rxy,2022-11-26T20:32:59Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.643,0.716,1,-7.565,1,0.5,0.0695,0,0.592,0.52,178.082,4
spotify:track:7C51GjZkKPzBa6LKrNgYBv,"God Bless The Dead","Greatest Hits","2Pac",1998-01-01,262200,50,true,31lwzlk3ixzhekhxj46yegst7rxy,2023-03-02T22:06:22Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","2Pac Greatest Hits",0.825,0.762,2,-4.81,1,0.26,0.0832,0.0000102,0.0753,0.603,95.965,4
spotify:track:3Z7Ef6JYrjCfkctSoZwPdu,"Temptations","Greatest Hits","2Pac",1998-01-01,300133,49,true,31lwzlk3ixzhekhxj46yegst7rxy,2023-05-09T16:53:31Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","2Pac Greatest Hits",0.78,0.678,1,-6.736,1,0.0812,0.126,0.00000167,0.443,0.728,90.69,4
spotify:track:3PA9dH8cT0wR5UW4XkC44Y,"Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster","Greatest Hits","The Notorious B.I.G.;Junior M.A.F.I.A.",2007-03-02,274440,60,true,31lwzlk3ixzhekhxj46yegst7rxy,2023-07-15T01:53:25Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.711,0.871,2,-4.32,1,0.294,0.398,0.00000169,0.171,0.912,91.153,4
